simplified,traditional,pinyin,meaning,frequency,hsk_level,pos,radical
暗中,暗中,àn zhōng,in secret ; in the dark ; on the sly ; surreptitiously,9222,7,"d,s",日
昂贵,昂貴,áng guì,costly ; expensive,7743,7,a,日
凹,凹,wā | āo,(used in names) ; concave ; depressed ; female (connector etc) ; indented ; sunken ; variant of 洼,10239,7,a,凵
熬,熬,áo | āo,to boil ; to cook on a slow fire ; to decoct ; to endure ; to extract by heating ; to simmer,4418,7,v,灬
熬夜,熬夜,áo yè,to stay up late or all night,9364,7,v,灬
傲,傲,ào,arrogant ; proud ; to defy ; to despise ; unyielding,7205,7,"g,a,ad",亻
傲慢,傲慢,ào màn,arrogant ; haughty,11766,7,"a,an",亻
奥秘,奧祕,ào mì,mystery ; secret,18113,7,n,大
奥运会,奧運會,Aò yùn huì,Olympic Games ; abbr. for 奥林匹克运动会 ; the Olympics,5746,7,n,大
八,八,bā,eight; 8,1362,1,"m,t",八
八卦,八卦,bā guà,gossip ; gossipy ; the eight divinatory trigrams of the Book of Changes 易经,6491,7,n,八
扒,扒,bā | pá,to braise ; to cling to (sth on which one is climbing) ; to crawl ; to dig ; to peel ; to pull down ; to rake up ; to skin ; to steal ; to tear,8554,7,v,扌
芭蕾,芭蕾,bā lěi,ballet (loanword),12522,7,n,艹
拔,拔,bá,to draw out by suction ; to pick ; to pull out ; to pull up ; to seize ; to select ; to stand out (above level) ; to surpass,3803,5,v,扌
把,把,bà | bǎ,"(used to put the object before the verb: 把 + {noun} + {verb}) ; classifier for things with handles ; classifier: handful, bundle, bunch ; handle ; handlebar ; to hold a baby in position to help it urinate or defecate ; to hold; to grasp",50,3,"p,qv,v,m",扌
把柄,把柄,bǎ bǐng,(fig.) information that can be used against sb ; handle,20374,7,n,扌
把关,把關,bǎ guān,to check on sth ; to guard a pass,24750,7,v,扌
把手,把手,bǎ shou | bǎ shǒu,grip ; handle ; knob ; to shake hands,8291,7,n,扌
把握,把握,bǎ wò,assurance ; certainty ; sure (of the outcome) ; to grasp (also fig.) ; to hold ; to seize,3068,3,"v,vn,n",扌
靶子,靶子,bǎ zi,target,21978,7,n,革
坝,壩,bà,dam ; dike; embankment,18700,7,n,土
爸,爸,bà,dad ; father ; pa ; papa,1142,1,n,父
爸爸,爸爸,bà ba,(coll.) father; dad,908,1,n,父
霸占,霸佔,bà zhàn,to dominate ; to occupy by force ; to seize,17196,7,v,雨
巴不得,巴不得,bā bu de,(coll.) to be eager for ; to long for ; to look forward to,22440,7,v,巳
巴士,巴士,bā shì,bus (loanword) ; motor coach,8312,4,n,巳
吧,吧,ba | biā | bā,"(modal particle indicating suggestion or surmise) ; (onom.) bang ; (onom.) smack! ; ...I presume. ; ...OK? ; ...right? ; abbr. for 贴吧 ; bar (loanword) (serving drinks, or providing Internet access etc) ; to puff (on a pipe etc)",58,1,y,口
罢工,罷工,bà gōng,a strike ; to go on strike,8001,6,"vn,v",罒
罢了,罷了,bà le | bà liǎo,"a modal particle indicating (don't mind it, ok) ; a modal particle indicating (that's all, only, nothing much)",3807,6,y,罒
罢免,罷免,bà miǎn,to dismiss ; to remove sb from their post,28683,7,v,罒
罢休,罷休,bà xiū,forget it ; let the matter drop ; to abandon (a goal etc) ; to give up ; to let sth go,17351,7,v,罒
掰,掰,bāi,(fig.) to break off (a relationship) ; to break off or break open sth with one's hands,11771,7,v,手
白,白,Bái | bái,anti-communist ; blank ; bright ; clear ; empty ; free of charge ; funeral ; gratuitous ; in vain ; plain ; pure ; reactionary ; snowy ; spoken lines in opera ; surname Bai ; to explain ; to make clear ; to stare coldly ; to state ; to write wrong character ; vernacular ; white,930,1,"a,nr,d,b,v,g",白
白白,白白,bái bái,for nothing ; in vain ; to no purpose ; white,10131,7,d,白
白菜,白菜,bái cài,Chinese cabbage ; pak choi,16930,3,n,白
白酒,白酒,bái jiǔ,"(Tw) white wine (abbr. for 酒) ; baijiu, a spirit usually distilled from sorghum",13749,5,n,白
白领,白領,bái lǐng,white-collar ; white-collar worker,11481,6,"b,n",白
