simplified,traditional,pinyin,meaning,frequency,hsk_level,pos,radical
档次,檔次,dàng cì,class ; grade ; level ; quality,10727,7,n,木
刀,刀,Dāo | dāo,(slang) dollar (loanword) ; blade ; classifier for knife cuts or stabs ; classifier for sets of one hundred sheets (of paper) ; cutlass ; knife ; single-edged sword ; surname Dao,1285,3,"n,q",刀
导弹,導彈,dǎo dàn,(guided) missile,3955,7,n,寸
导航,導航,dǎo háng,navigation,7522,7,"vn,v",寸
导火索,導火索,dǎo huǒ suǒ,fuse (for explosive),22497,7,n,寸
导师,導師,dǎo shī,academic advisor ; teacher ; tutor,7057,7,n,寸
导向,導向,dǎo xiàng,orientation ; to be oriented towards,15065,7,n,寸
导演,導演,dǎo yǎn,director (film etc) ; to direct,2109,3,,寸
导游,導遊,dǎo yóu,guidebook ; to conduct a tour ; tour guide,10258,4,n,寸
导致,導致,dǎo zhì,to bring about ; to cause ; to create ; to lead to,1268,4,v,寸
岛,㠀 | 島,dǎo,island ; variant of 岛,1816,6,n,山
岛屿,島嶼,dǎo yǔ,island,13216,7,n,山
捣乱,搗亂,dǎo luàn,to bother sb intentionally ; to disturb ; to look for trouble ; to stir up a row,12996,7,v,扌
到,到,dào,(verb complement indicating arriving at a place or reaching a point) ; considerate; thoughtful; thorough ; to (a place); until (a time); up to (a point) ; to leave for; to go to ; to reach; to arrive,29,1,"v,p",刂
到处,到處,dào chù,everywhere,2171,2,d,刂
到达,到達,dào dá,to reach; to arrive,2131,3,v,刂
到底,到底,dào dǐ,after all ; finally ; in the end ; to the end ; to the last ; when all is said and done,741,3,"d,v",刂
到来,到來,dào lái,arrival; advent ; to arrive,2807,5,"v,vn",刂
到期,到期,dào qī,to expire (visa etc) ; to fall due (loan etc) ; to mature (investment bond etc),8666,6,v,刂
到头来,到頭來,dào tóu lái,as a result ; finally ; in the end,13609,7,d,刂
到位,到位,dào wèi,precise ; to be in place ; to be in position ; to get to the intended location ; well (done),5078,7,"v,vn",刂
倒,倒,dào | dǎo,contrary to what one might expect; but; yet ; inverted; upside down; reversed ; to change (trains or buses) ; to fail; to go bankrupt ; to fall; to collapse; to lie horizontally ; to go backward ; to invert; to place upside down or frontside back ; to move around ; to overthrow ; to pour out ; to resell at a profit ; to tip out; to dump,780,2,"v,d",亻
倒闭,倒閉,dǎo bì,to close down ; to go bankrupt,11967,4,"v,vn",亻
倒车,倒車,dào chē | dǎo chē,"to change buses, trains etc ; to drive backwards ; to reverse (a vehicle)",16831,4,"v,vn",亻
倒计时,倒計時,dào jì shí,countdown ; to count down,10111,7,,亻
倒卖,倒賣,dǎo mài,to resell at a profit ; to speculate,18504,7,v,亻
倒霉,倒霉,dǎo méi,to be out of luck ; to have bad luck,5252,7,"a,an",亻
倒是,倒是,dào shi,actually ; contrariwise ; contrary to what one might expect ; why don't you,4297,5,"d,v",亻
倒数,倒數,dào shù | dào shǔ,from the back (rows of seats) ; from the bottom (lines on a page) ; inverse number ; reciprocal (math.) ; to count backwards (from 10 down to 0) ; to count down,6083,7,"v,vn",亻
倒塌,倒塌,dǎo tā,to collapse (of building) ; to topple over,11092,7,"v,vn",亻
倒下,倒下,dǎo xià,to collapse ; to topple over,6803,7,v,亻
悼念,悼念,dào niàn,to grieve,14306,7,"v,vn",忄
盗,盜,dào,bandit ; robber ; thief ; to plunder ; to rob ; to steal,5640,7,g,皿
盗版,盜版,dào bǎn,illegal ; pirated ; see also 版,13714,6,"vn,n,v",皿
盗窃,盜竊,dào qiè,to steal,5770,7,"v,vn",皿
道,道,dào,"(old) circuit (administrative division) ; Dao (of Daoism) ; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process ; method ; morality ; path ; principle ; reason ; road ; skill ; to say ; to speak ; to talk ; truth",478,2,"qv,n,v",辶
道德,道德,dào dé,ethics ; morality ; virtue,2445,5,"n,a",辶
道教,道教,Dào jiào,Daoism (Chinese system of beliefs) ; Taoism,30866,6,nz,辶
道具,道具,dào jù,(gaming) item ; artifact ; paraphernalia ; prop (theater),7621,7,n,辶
道理,道理,dào li,argument ; basis ; justification ; principle ; reason ; sense,2521,2,n,辶
道路,道路,dào lù,path ; road ; way,2367,2,n,辶
道歉,道歉,dào qiàn,to apologize,3168,6,"v,vn",辶
稻草,稻草,dào cǎo,rice straw,16234,7,n,禾
德,德 | 悳 | 惪,Dé | dé,German ; Germany ; abbr. for 德国 ; character ; ethics ; favor ; goodness ; kind ; kindness ; morality ; variant of 德 ; virtue,1174,7,"n,b",彳
地,地,de | dì,"-ly ; earth ; field ; ground ; land ; place ; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct",132,1,"u,n",土
地板,地板,dì bǎn,floor,3788,6,n,土
地步,地步,dì bù,degree (to which a situation has evolved) ; leeway ; situation ; stage,6037,7,n,土
地带,地帶,dì dài,zone,6317,5,n,土
地道,地道,dì dao | dì dào,authentic ; causeway ; genuine ; proper ; tunnel,5958,7,"a,n",土
地点,地點,dì diǎn,location ; place ; site ; venue,1921,1,n,土
地段,地段,dì duàn,district ; section,13708,7,n,土
地方,地方,dì fang | dì fāng,area ; local ; place ; region ; regional (away from the central administration) ; room ; space ; territory,254,1,n,土
地理,地理,dì lǐ,geography,6677,7,n,土
地面,地面,dì miàn,floor ; ground ; surface,3289,4,n,土
地名,地名,dì míng,place name ; toponym,14919,6,n,土
地球,地球,dì qiú,the earth,1971,2,n,土
地区,地區,dì qū,"area ; as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city) ; district (not necessarily formal administrative unit) ; local ; region ; regional",1123,3,n,土
地上,地上,dì shang,on the floor ; on the ground,2185,1,s,土
地毯,地毯,dì tǎn,carpet ; rug,6563,7,n,土
地铁,地鐵,dì tiě,subway train ; underground railway; subway,3046,2,n,土
地铁站,地鐵站,dì tiě zhàn,subway station,11176,2,n,土
地图,地圖,dì tú,map,3548,1,n,土
地位,地位,dì wèi,place ; position ; status,2771,4,n,土
地下,地下,dì xià,covert ; subterranean ; underground,2908,4,s,土
地下室,地下室,dì xià shì,basement ; cellar,9373,6,n,土
地下水,地下水,dì xià shuǐ,groundwater,18186,7,n,土
地形,地形,dì xíng,landform ; terrain ; topography,11043,5,n,土
地狱,地獄,dì yù,(Buddhism) Naraka ; hell ; infernal ; underworld,5402,7,n,土
地域,地域,dì yù,area ; district ; region,10905,7,n,土
地震,地震,dì zhèn,earthquake,3938,5,n,土
地址,地址,dì zhǐ,address,1067,4,n,土
地质,地質,dì zhì,geology,11668,7,n,土
的,的,de | dì | dí | dī,(bound form) bull's-eye; target ; (used after an attribute) ; (used at the end of a declarative sentence for emphasis) ; (used to form a nominal expression) ; a taxi; a cab (abbr. for 士) ; also pr. [dì] or [di] in poetry and songs ; of; ~'s (possessive particle) ; really and truly,1,1,"u,n",白
的话,的話,de huà,if (coming after a conditional clause),2226,2,u,白
的确,的確,dí què,indeed ; really,1392,4,d,白
得,得,de | dé | děi,"contented ; finished ; must ; ought to ; proper ; proud ; ready ; structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc ; suitable ; to allow ; to catch (a disease) ; to gain ; to get ; to have to ; to need to ; to obtain ; to permit",58,2,"u,v",彳
得不偿失,得不償失,dé bù cháng shī,the gains do not make up for the losses (idiom),30150,7,v,彳
得出,得出,dé chū,to obtain (a result); to arrive at (a conclusion),5401,2,v,彳
得当,得當,dé dàng,appropriate ; suitable,15462,7,a,彳
得到,得到,dé dào,to get ; to obtain ; to receive,308,1,v,彳
得分,得分,dé fēn,to score,3694,3,"v,n",彳
得了,得了,dé le | dé liǎo,"(emphatically, in rhetorical questions) possible ; all right! ; that's enough!",3720,5,"v,y",彳
得力,得力,dé lì,able ; capable ; competent ; efficient,14265,7,a,彳
得失,得失,dé shī,gains and losses ; merits and demerits ; success and failure,16732,7,n,彳
得手,得手,dé shǒu,to go smoothly; to come off; to succeed,13194,7,v,彳
得体,得體,dé tǐ,appropriate to the occasion ; fitting,14324,7,a,彳
得天独厚,得天獨厚,dé tiān dú hòu,blessed by heaven (idiom) ; enjoying exceptional advantages ; favored by nature,40643,7,l,彳
得以,得以,dé yǐ,able to ; enabling ; finally in a position to ; in order to ; so that sb can ; with sth in view,5437,5,v,彳
得益于,得益於,dé yì yú,thanks to ; to benefit from,11657,7,,彳
得意,得意,dé yì,complacent ; pleased with oneself ; proud of oneself,6279,4,"a,an",彳
得意扬扬,得意揚揚,dé yì yáng yáng,variant of 洋,164953,7,,彳
得知,得知,dé zhī,to find out ; to learn of,3242,7,v,彳
得罪,得罪,dé zui | dé zuì,a faux pas ; excuse me! (formal) ; see also 罪 ; to commit an offense ; to make a faux pas ; to offend sb ; to violate the law,9103,7,v,彳
灯,燈,dēng,lamp ; lantern ; light,2001,2,n,火
灯光,燈光,dēng guāng,(stage) lighting ; light,4731,4,n,火
灯笼,燈籠,dēng lóng,lantern,17051,7,n,火
灯泡,燈泡,dēng pào,light bulb ; see also 电灯泡 ; third-wheel or unwanted third party spoiling a couple's date (slang),11742,7,n,火
登,登,dēng,to ascend ; to be gathered and taken to the threshing ground (old) ; to enter (e.g. in a register) ; to mount ; to press down with the foot ; to publish or record ; to put on (shoes or trousers) (dialect) ; to scale (a height) ; to step or tread on,2782,4,v,癶
登机,登機,dēng jī,to board a plane,10431,7,"v,vn",癶
登记,登記,dēng jì,to register (one's name),2377,4,"v,vn",癶
登陆,登陸,dēng lù,to come ashore ; to land ; to log in (frequently used erroneous variant of 登录) ; to make landfall (of typhoon etc),4583,7,"v,vn",癶
登录,登錄,dēng lù,to log in ; to register,6988,4,"v,vn",癶
登山,登山,dēng shān,climbing ; mountaineering ; to climb a mountain,11767,4,"vn,v",癶
蹬,蹬,dēng,(slang) to dump (sb) ; Taiwan pr. [dèng] ; to step on ; to tread on ; to wear (shoes),12339,7,v,足
等,等,děng,after ; and so on ; as soon as ; class ; equal to ; et al. (and other authors) ; et cetera ; grade ; once ; rank ; same as ; to await ; to wait for,83,1,"v,u",⺮
等待,等待,děng dài,to wait; to wait for,1567,3,"v,vn",⺮
等到,等到,děng dào,by the time when (sth is ready etc) ; to wait until,4305,2,v,⺮
等候,等候,děng hòu,to wait ; to wait for,6248,5,"v,vn",⺮
等级,等級,děng jí,grade ; rank ; status,5289,5,n,⺮
等于,等於,děng yú,to be tantamount to ; to equal,3464,2,v,⺮
凳子,凳子,dèng zi,small seat ; stool,12912,7,n,几
瞪,瞪,dèng,to glare at ; to open (one's eyes) wide ; to stare at,7103,7,v,目
低,低,dī,beneath ; low ; to hang down ; to incline ; to let droop ; to lower (one's head),951,2,"a,ad,v",亻
低调,低調,dī diào,low pitch ; low-key ; low-profile ; quiet (voice) ; subdued,5045,7,n,亻
低估,低估,dī gū,to underestimate; to underrate,7942,7,v,亻
低谷,低谷,dī gǔ,fig. low point ; lowest ebb ; nadir of one's fortunes ; trough (as opposed to peaks) ; valley,13927,7,n,亻
低价,低價,dī jià,low price,10967,7,"n,ad",亻
低迷,低迷,dī mí,blurred (landscape etc) ; in a slump (economy) ; low (spirits),17114,7,"a,v",亻
低碳,低碳,dī tàn,(attributive) low-carbon; low-carb (diet),1000000,7,,亻
低头,低頭,dī tóu,to bow the head ; to give in ; to yield,7321,6,v,亻
低温,低溫,dī wēn,low temperature,10778,6,n,亻
低下,低下,dī xià,low status ; lowly ; to lower (one's head),8424,7,"a,an",亻
低于,低於,dī yú,to be lower than,6208,5,v,亻
堤,堤 | 隄,dī,Taiwan pr. [tí] ; dike ; variant of 堤,9859,7,n,土
堤坝,堤壩,dī bà,dam ; dike,34295,7,n,土
滴,滴,dī,a drop ; to drip,2035,6,"v,q",氵
敌人,敵人,dí rén,enemy,1731,4,n,舌
笛子,笛子,dí zi,bamboo flute,23092,7,n,⺮
底,底,de | dǐ,"(equivalent to 的 as possessive particle) ; (math.) radix ; background ; base ; bottom ; end (of the month, year etc) ; remnants",849,4,"f,n",广
底层,底層,dǐ céng,bottom (of a pile) ; ground or first floor ; lowest rung (of society),11996,7,n,广
底下,底下,dǐ xia,afterwards ; the location below sth,5997,3,f,广
底线,底線,dǐ xiàn,(sewing) under thread ; (sports) baseline ; bottom line; the limit of what one is prepared to accept ; spy; informer; plant,5683,7,n,广
底蕴,底蘊,dǐ yùn,concrete details ; inside information,34522,7,n,广
底子,底子,dǐ zi,base ; bottom ; foundation,26414,7,n,广
抵触,抵觸,dǐ chù,to conflict ; to contradict,17615,7,"v,vn",扌
抵达,抵達,dǐ dá,to arrive ; to reach (a destination),4566,6,v,扌
抵挡,抵擋,dǐ dǎng,to hold back ; to resist ; to stop ; to ward off ; to withstand,11051,7,v,扌
抵抗,抵抗,dǐ kàng,resistance ; to resist,4384,6,"v,vn",扌
抵消,抵消,dǐ xiāo,to cancel out ; to counteract ; to offset,16811,7,v,扌
抵押,抵押,dǐ yā,to provide (an asset) as security for a loan ; to put up collateral,6429,7,"vn,v",扌
抵御,抵禦,dǐ yù,to resist ; to withstand,12366,7,v,扌
抵制,抵制,dǐ zhì,refusal ; resistance ; to boycott ; to refuse (to cooperate) ; to reject ; to resist,9083,7,"v,vn",扌
弟,弟,dì | tì,I (modest word in letter) ; junior male ; variant of 悌 ; younger brother,6568,1,n,弓
弟弟,弟弟,dì di,younger brother,2424,1,n,弓
弟子,弟子,dì zǐ,disciple; follower,13971,7,n,弓
帝国,帝國,dì guó,empire ; imperial,5025,7,n,巾
帝国主义,帝國主義,dì guó zhǔ yì,imperialism,13706,7,n,巾
递,遞,dì,(bound form) progressively; in the proper order ; to hand over; to pass on; to deliver,7319,5,v,辶
递给,遞給,dì gěi,to hand it (i.e. the aforementioned item) to (sb),8159,5,v,辶
递交,遞交,dì jiāo,to give ; to hand in ; to hand over ; to lay before ; to present,11091,7,v,辶
第,第,dì,"(literary) but; however ; (literary) grades in which successful candidates in the imperial examinations were placed ; (literary) only; just ; (old) residence of a high official ; (prefix indicating ordinal number, as in 六 ""sixth"")",962,1,m,⺮
第二,第二,dì èr,next ; number two ; second ; secondary,527,1,m,⺮
第一手,第一手,dì yī shǒu,first-hand,21139,7,"b,d,n",⺮
第一线,第一線,dì yī xiàn,forefront ; front line,24169,7,n,⺮
颠倒,顛倒,diān dǎo,back to front ; confused ; crazy ; deranged ; to reverse ; to turn upside down,11865,7,"v,vn",页
颠覆,顛覆,diān fù,"fig. to overturn (a regime, by plotting or subversion) ; to capsize ; to subvert ; to topple (i.e. knock over) ; to undermine",10966,7,"v,vn",页
巅峰,巔峰,diān fēng,apex ; peak (of a civilization etc) ; pinnacle (of one's career etc) ; summit,13050,7,n,山
典范,典範,diǎn fàn,example ; model ; paragon,12781,7,n,八
典礼,典禮,diǎn lǐ,celebration ; ceremony,5455,5,n,八
典型,典型,diǎn xíng,archetype ; model ; representative ; typical ; typical case,3251,4,"n,a",八
点,點,diǎn,(old) one fifth of a two-hour watch 更 ; classifier for items ; dot ; dot stroke in Chinese characters ; drop ; o'clock ; point ; point (in space or time) ; speck ; to check on a list ; to choose ; to draw a dot ; to hint ; to ignite ; to light ; to order (food in a restaurant) ; to pour a liquid drop by drop ; to touch briefly,58,1,"qt,n,t,v",灬
点火,點火,diǎn huǒ,fig. to stir up trouble ; ignition ; to agitate ; to ignite ; to light a fire ; to start an engine,11102,7,"v,vn",灬
点击率,點擊率,diǎn jī lǜ,click-through rate (CTR) (Internet),1000000,7,,灬
点名,點名,diǎn míng,(to call or praise or criticize sb) by name ; roll call ; to mention sb by name,11424,4,v,灬
点评,點評,diǎn píng,a point by point commentary ; to comment,11757,7,"v,vn",灬
点燃,點燃,diǎn rán,aflame ; to ignite ; to set on fire,6958,5,v,灬
点头,點頭,diǎn tóu,to nod,6136,2,v,灬
点心,點心,diǎn xin,dessert ; dim sum (in Cantonese cooking) ; light refreshments ; pastry,8628,7,n,灬
点缀,點綴,diǎn zhuì,only for show ; sprinkled ; studded ; to adorn ; to decorate,15531,7,"v,vn",灬
点子,點子,diǎn zi,crux ; dot ; drop (of liquid) ; droplet ; idea ; indication ; point ; point (of argument) ; pointer ; speck ; spot,9273,7,n,灬
电,電,diàn,electric (bound form) ; electricity ; lightning ; phone call or telegram etc ; to get (or give) an electric shock ; to send via telephone or telegram etc,1027,1,n,曰
电报,電報,diàn bào,cable ; telegram ; telegraph,10309,7,n,曰
电车,電車,diàn chē,trolleybus,14461,6,n,曰
电池,電池,diàn chí,battery,3997,5,n,曰
电灯,電燈,diàn dēng,electric light,20337,4,n,曰
电动,電動,diàn dòng,(Tw) video game ; electric-powered,8507,6,b,曰
电动车,電動車,diàndòngchē,Electric vehicle,26291,4,n,曰
电饭锅,電飯鍋,diàn fàn guō,electric rice cooker,88712,5,n,曰
电话,電話,diàn huà,phone call ; phone number ; telephone,359,1,n,曰
电力,電力,diàn lì,electrical power ; electricity,3716,6,n,曰
电铃,電鈴,diàn líng,electric bell,64108,7,n,曰
电脑,電腦,diàn nǎo,computer,946,1,n,曰
电器,電器,diàn qì,(electrical) appliance ; device,7826,6,n,曰
电视,電視,diàn shì,television; TV,779,1,n,曰
电视机,電視機,diàn shì jī,television set,6649,1,n,曰
电视剧,電視劇,diàn shì jù,TV drama ; TV series,4222,3,n,曰
电视台,電視臺,diàn shì tái,television station,3940,3,n,曰
电台,電臺,diàn tái,broadcasting station ; radio station ; transmitter-receiver,5542,3,n,曰
电梯,電梯,diàn tī,elevator ; escalator,3894,4,n,曰
电网,電網,diàn wǎng,electricity grid; power grid ; electrified wire netting,11688,7,n,曰
电线,電線,diàn xiàn,power cord ; wire,8932,7,n,曰
电信,電信,diàn xìn,telecommunications,11442,7,n,曰
电讯,電訊,diàn xùn,telecom ; telecommunications,18682,7,n,曰
电影,電影,diàn yǐng,movie; film,546,1,n,曰
电影院,電影院,diàn yǐng yuàn,cinema; movie theater,7945,1,n,曰
电源,電源,diàn yuán,electric power source,6030,4,n,曰
电子版,電子版,diàn zǐ bǎn,digital version ; electronic edition,48366,5,n,曰
电子邮件,電子郵件,diàn zǐ yóu jiàn,email,9822,3,,曰
店,店,diàn,(bound form) shop; store ; inn; old-style hotel,732,2,n,广
垫,墊,diàn,cushion ; mat ; pad ; to advance (money) ; to fill a gap ; to pad out ; to pay for sb,5968,7,v,土
垫底,墊底,diàn dǐ,to come last in the rankings ; to eat sth to tide oneself over until mealtime ; to lay the foundation ; to put sth on the bottom,14034,7,"v,vn",土
垫子,墊子,diàn zi,cushion; mat; pad,20740,7,n,土
惦记,惦記,diàn jì,to be concerned about ; to keep thinking about ; to think of,13212,7,v,忄
淀粉,澱粉,diàn fěn,starch; amylum (C6H10O5)n,17407,7,n,氵
奠定,奠定,diàn dìng,to establish ; to fix ; to settle,19177,7,v,大
殿堂,殿堂,diàn táng,hall ; palace ; temple buildings,17143,7,n,殳
刁难,刁難,diāo nàn,Taiwan pr. [diāo nán] ; to be hard on sb; to deliberately make things difficult,23363,7,"v,vn",刁
叼,叼,diāo,to hold with one's mouth (as a smoker with a cigarette or a dog with a bone),9777,7,v,口
雕,彫 | 雕 | 鵰,diāo,"bird of prey ; shrewd ; to carve ; to engrave ; variant of 雕, to engrave",10655,7,"g,v",隹
雕刻,雕刻,diāo kè,carving ; to carve ; to engrave,12877,7,"n,v,vn",隹
雕塑,雕塑,diāo sù,a Buddhist image ; a statue ; sculpture ; to carve,7978,7,n,隹
吊,吊 | 弔,diào,a string of 100 cash (arch.) ; to condole with ; to hang a person ; to hang up ; to lament ; to suspend ; variant of 吊,4734,6,"v,q",口
吊销,吊銷,diào xiāo,to revoke ; to suspend (an agreement),14932,7,v,口
钓鱼,釣魚,diào yú,to dupe ; to fish (with line and hook),8342,7,"v,vn",钅
调,調,diào | tiáo,accent ; argument ; key (in music) ; melody ; mode (music) ; to adjust ; to blend ; to enquire into ; to harmonize ; to incite ; to investigate ; to move (troops or cadres) ; to provoke ; to reconcile ; to regulate ; to season (food) ; to suit well ; to transfer ; tone ; tune ; view,1481,3,"v,n",讠
调查,調查,diào chá,(opinion) poll ; inquiry ; investigation ; survey ; to investigate ; to survey,512,3,"v,vn",讠
调动,調動,diào dòng,movement of personnel ; to bring into play ; to maneuver (troops etc) ; to mobilize ; to transfer,7622,5,v,讠
调度,調度,diào dù,"dispatcher ; scheduler ; to dispatch (vehicles, staff etc) ; to manage ; to schedule",11631,7,"vn,v,n",讠
调节,調節,tiáo jié,to adjust ; to harmonize ; to reconcile (accountancy etc) ; to regulate,6641,5,"v,vn",讠
调解,調解,tiáo jiě,to bring parties to an agreement ; to mediate,10413,5,"v,vn",讠
调侃,調侃,tiáo kǎn,chitchat ; idle talk ; to mock ; to ridicule ; to tease,19087,7,"v,vn",讠
调控,調控,tiáo kòng,to control ; to regulate,22584,7,"vn,v",讠
调料,調料,tiáo liào,condiment ; flavoring ; seasoning,14059,7,n,讠
调皮,調皮,tiáo pí,mischievous ; naughty ; unruly,12299,4,a,讠
调试,調試,tiáo shì,debugging ; to adjust components during testing ; to debug,16893,7,"v,vn",讠
调研,調研,diào yán,investigation ; research ; to investigate and research,12805,6,"vn,v",讠
调整,調整,tiáo zhěng,adjustment ; revision ; to adjust,2032,3,"v,vn",讠
掉,掉,diào,"(used after certain verbs to express completion, fulfillment, removal etc) ; fall (in prices) ; to change ; to drop ; to exchange ; to fall ; to go missing ; to lag behind ; to lose ; to lose (value, weight etc) ; to reduce ; to shed (hair) ; to show off ; to swap ; to swing ; to turn ; to wag",549,2,v,扌
掉队,掉隊,diào duì,to drop out ; to fall behind,31436,7,v,扌
掉头,掉頭,diào tóu,to turn about ; to turn one's head ; to turn round,11345,7,v,扌
爹,爹,diē,dad,4503,7,n,父
跌,跌,diē,(of prices etc) to drop ; Taiwan pr. [dié] ; to fall ; to trip ; to tumble,4284,6,v,足
迭起,迭起,dié qǐ,continuously arising ; to arise repeatedly,61816,7,v,辶
叠,曡 | 疉 | 疊,dié,to duplicate ; to fold ; to fold over in layers ; to furl ; to layer ; to pile up ; to repeat ; variant of 叠,7389,7,"v,q",又
丁,丁,Dīng | dīng,"(archaic) ancient Chinese compass point: 195° ; (chemistry) butyl ; (literary) to encounter ; fourth (used like ""4"" or ""D"") ; male adult ; small cube of meat or vegetable ; surname Ding ; the 4th of the 10 Heavenly Stems 干",3211,7,"nr,o,g,Mg",一
叮嘱,叮囑,dīng zhǔ,to exhort again and again ; to urge ; to warn repeatedly,23273,7,"v,vn",口
盯,盯,dīng,to fix one's attention on ; to gaze at ; to stare at ; to watch attentively,2464,7,v,目
钉,釘,dìng | dīng,nail ; to follow closely ; to join things together by fixing them in place at one or more points ; to keep at sb (to do sth) ; to nail ; to pin ; to sew on ; to staple ; variant of 盯,5126,7,v,钅
钉子,釘子,dīng zi,nail ; saboteur ; snag,14639,7,n,钅
顶,頂,dǐng,"(slang) to ""bump"" a forum thread to raise its profile ; apex ; classifier for headwear, hats, veils etc ; crown of the head ; most ; roof ; to be subjected to (an aerial bombing, hailstorm etc) ; to carry on the head ; to go against ; to push to the top ; to replace ; to substitute ; top",1623,4,"v,q,g,f",页
顶多,頂多,dǐng duō,at best ; at most,15420,7,d,页
顶级,頂級,dǐng jí,top-notch; first-rate,5572,7,"b,n",页
顶尖,頂尖,dǐng jiān,apex ; finest (competitors) ; number one ; peak ; top (figures in a certain field) ; world best,9011,7,"b,n",页
订,訂,dìng,to agree ; to conclude ; to draw up ; to order ; to subscribe to (a newspaper etc),2991,3,v,讠
订单,訂單,dìng dān,(purchase) order,7820,7,n,讠
订购,訂購,dìng gòu,to place an order ; to subscribe,11102,7,"v,vn",讠
订婚,訂婚,dìng hūn,to get engaged,10745,7,"v,vn",讠
订立,訂立,dìng lì,"to conclude (treaty, contract, agreement etc) ; to set up (a rule etc)",26730,7,v,讠
定,定,dìng,to decide ; to determine ; to fix ; to order ; to set,586,4,"v,d",宀
定价,定價,dìng jià,to fix a price ; to set a price,13764,6,"v,n,vn",宀
定金,定金,dìng jīn,advance payment ; down payment,15438,7,n,宀
定居,定居,dìng jū,"to settle (in some city, country etc) ; to take up residence",13309,7,"v,vn",宀
定论,定論,dìng lùn,accepted argument ; final conclusion,13353,7,n,宀
定期,定期,dìng qī,at regular intervals ; at set dates ; fixed term ; limited to a fixed period of time ; periodic,7535,3,"d,b",宀
定时,定時,dìng shí,fixed time ; timed (of explosive etc) ; to fix a time,14319,6,"d,b",宀
定为,定為,dìng wèi,set to,19856,7,v,宀
定位,定位,dìng wèi,niche ; position ; positioning ; to categorize (as) ; to characterize (as) ; to orientate ; to position,3300,6,"v,vn,n",宀
定向,定向,dìng xiàng,directed ; directional ; orienteering ; to orientate,14918,7,"d,b",宀
定心丸,定心丸,dìng xīn wán,sth that sets one's mind at ease ; tranquilizer,38626,7,n,宀
定义,定義,dìng yì,definition ; to define,4821,7,"n,v",宀
定做,定做,dìng zuò,to have something made to order,14932,7,v,宀
丢,丟,diū,to lose ; to put aside ; to throw,1655,5,v,一
丢掉,丟掉,diū diào,to cast away ; to discard ; to lose ; to throw away,7268,7,v,一
丢脸,丟臉,diū liǎn,humiliation ; to lose face,9491,7,a,一
丢弃,丟棄,diū qì,to abandon ; to discard,12126,7,v,一
丢人,丟人,diū rén,to lose face,8878,7,a,一
丢失,丟失,diū shī,to lose; to misplace,6608,7,"v,vn",一
东,東,Dōng | dōng,east ; host (i.e. sitting on east side of guest) ; landlord ; surname Dong,1509,1,"f,b",一
东北,東北,Dōng běi | dōng běi,Manchuria ; Northeast China ; northeast,6344,2,s,一
东奔西走,東奔西走,dōng bēn xī zǒu,also 东跑西颠 ; to bustle about ; to hopscotch ; to run this way and that (idiom); to rush about busily,54249,7,v,一
东边,東邊,dōng bian,east ; east side ; eastern part ; to the east of,16314,1,f,一
东部,東部,dōng bù,eastern part ; the east,5067,3,f,一
东道主,東道主,dōng dào zhǔ,host ; official host (e.g. venue for games or a conference),35077,7,n,一
东方,東方,Dōng fāng | dōng fāng,east ; the East ; the Orient ; two-character surname Dongfang,5137,2,"s,f",一
东南,東南,dōng nán,southeast,10838,2,f,一
东西,東西,dōng xi | dōng xī,east and west ; person ; stuff ; thing,226,1,"n,f,nr",一
东张西望,東張西望,dōng zhāng xī wàng,to glance around ; to look in all directions (idiom),34585,7,v,一
冬季,冬季,dōng jì,winter,6769,4,t,⺀
冬天,冬天,dōng tiān,winter,3291,2,t,⺀
董事,董事,dǒng shì,board member,7964,7,n,艹
董事会,董事會,dǒng shì huì,board of directors,3580,7,n,艹
董事长,董事長,dǒng shì zhǎng,chairman of the board of directors,10696,7,n,艹
懂,懂,dǒng,to comprehend ; to understand,669,2,v,忄
懂得,懂得,dǒng de,to understand; to know; to comprehend,2899,2,v,忄
懂事,懂事,dǒng shì,(esp. of a child) sensible; thoughtful; intelligent ; to grow beyond the naivete of childhood; to be aware of what is going on in the world,10408,7,"a,v",忄
动,動,dòng,"(of sth) to move ; abbr. for 动词, verb ; to alter ; to displace ; to make use of ; to set in movement ; to stir (emotions) ; to touch",588,1,"v,vn",力
动不动,動不動,dòng bu dòng,"(typically followed by 就) apt to (lose one's temper, catch a cold etc) ; at the drop of a hat",15977,7,d,力
动弹,動彈,dòng tan,to budge,14882,7,v,力
动荡,動盪 | 動蕩,dòng dàng,commotion ; turmoil ; unrest (social or political) ; upheaval ; variant of 动荡,15320,7,"a,an",力
动感,動感,dòng gǎn,dynamic ; lifelike ; sense of movement (often in a static work of art) ; vivid,11247,7,n,力
动工,動工,dòng gōng,to start (a building project),17779,7,"v,vn",力
动画,動畫,dòng huà,animation ; cartoon,8737,6,n,力
动画片,動畫片,dòng huà piàn,animated film,10899,4,n,力
动机,動機,dòng jī,motive; motivation,4386,5,n,力
动静,動靜,dòng jìng,(detectable) movement ; (sign of) activity ; movement and stillness,7275,7,n,力
