simplified,traditional,pinyin,zhuyin,meaning,hsk_level,pos,frequency_hsk,frequency_rank_hsk,hsk_level_main,frequency_subtlex,per_million,log_frequency,context_diversity,context_diversity_pct,log_context_diversity,frequency_rank_subtlex,in_subtlex
受益匪浅,受益匪淺,shòuyì-fěiqiǎn,ㄕㄡˋ ㄧˋ ㄈㄟˇ ㄑㄧㄢˇ,to benefit (from),7-9,unknown,30535,10030,7-9,22.0,0.66,1.3424,21.0,0.34,1.3222,2854.0,True
脊梁,脊梁,jǐliáng,ㄐㄧˇ ㄌㄧㄤ˙,backbone; spine; Taiwan pr. [ji3 liang5]; (coll.) back (of a human or other vertebrate),7-9,名,30440,10031,7-9,17.0,0.51,1.2304,14.0,0.22,1.1461,2859.0,True
拄,拄,zhǔ,ㄓㄨˇ,to lean on; to prop on,7-9,动,30408,10032,7-9,29.0,0.86,1.4624,26.0,0.42,1.415,2847.0,True
划时代,劃時代,huàshídài,ㄏㄨㄚˋ ㄕˊ ㄉㄞˋ,epoch-marking,7-9,形,30391,10033,7-9,9.0,0.27,0.9542,9.0,0.14,0.9542,2867.0,True
日复一日,日復一日,rìfùyírì,ㄖˋ ㄈㄨˋ ㄧ ㄖˋ,day after day,7-9,unknown,30391,10033,7-9,93.0,2.77,1.9685,81.0,1.3,1.9085,2783.0,True
因人而异,因人而異,yīnrén’éryì,ㄧㄣ ㄖㄣˊ ㄦˊ ㄧˋ,varying from person to person (idiom); different for each individual,7-9,unknown,30313,10034,7-9,9.0,0.27,0.9542,8.0,0.13,0.9031,2867.0,True
灼热,灼熱,zhuórè,ㄓㄨㄛˊ ㄖㄜˋ,burning hot; scorching,7-9,形,30279,10035,7-9,26.0,0.78,1.415,24.0,0.38,1.3802,2850.0,True
吹捧,吹捧,chuīpěng,ㄔㄨㄟ ㄆㄥˇ,to flatter; to laud sb's accomplishments; adulation,7-9,动,30278,10036,7-9,27.0,0.8,1.4314,25.0,0.4,1.3979,2849.0,True
挂失,掛失,guàshī,ㄍㄨㄚˋ ㄕ,to report the loss of something,7-9,动,30261,10037,7-9,7.0,0.21,0.8451,6.0,0.1,0.7782,2869.0,True
茂盛,茂盛,màoshèng,ㄇㄠˋ ㄕㄥˋ,lush,7-9,形,30200,10038,7-9,18.0,0.54,1.2553,17.0,0.27,1.2304,2858.0,True
殷勤,殷勤,yīnqín,ㄧㄣ ㄑㄧㄣˊ,politely; solicitously; eagerly attentive,7-9,形,30179,10039,7-9,21.0,0.63,1.3222,19.0,0.3,1.2788,2855.0,True
谜团,謎團,mítuán,ㄇㄧˊ ㄊㄨㄢˊ,riddle; enigma; unpredictable situation; elusive matters,7-9,名,30091,10041,7-9,105.0,3.13,2.0212,89.0,1.43,1.9494,2771.0,True
惊慌失措,驚慌失措,jīnghuāng-shīcuò,ㄐㄧㄥ ㄏㄨㄤ ㄕ ㄘㄨㄛˋ,to lose one's head out of fear (idiom),7-9,unknown,30028,10042,7-9,102.0,3.04,2.0086,95.0,1.52,1.9777,2774.0,True
天经地义,天經地義,tiānjīng-dìyì,ㄊㄧㄢ ㄐㄧㄥ ㄉㄧˋ ㄧˋ,lit. heaven's law and earth's principle (idiom); fig. right and proper; right and unalterable; a matter of course,7-9,unknown,30014,10043,7-9,13.0,0.39,1.1139,13.0,0.21,1.1139,2863.0,True
退却,退卻,tuìquè,ㄊㄨㄟˋ ㄑㄩㄝˋ,to retreat; to shrink back,7-9,动,29965,10044,7-9,25.0,0.75,1.3979,23.0,0.37,1.3617,2851.0,True
利索,利索,lìsuo,ㄌㄧˋ ㄙㄨㄛ˙,nimble,7-9,形,29899,10045,7-9,76.0,2.27,1.8808,69.0,1.11,1.8388,2800.0,True
迸发,迸發,bèngfā,ㄅㄥˋ ㄈㄚ,to burst forth,7-9,动,29890,10046,7-9,44.0,1.31,1.6435,42.0,0.67,1.6232,2832.0,True
情理,情理,qínglǐ,ㄑㄧㄥˊ ㄌㄧˇ,reason; sense,7-9,名,29889,10047,7-9,92.0,2.74,1.9638,85.0,1.36,1.9294,2784.0,True
有的放矢,有的放矢,yǒudì-fàngshǐ,ㄧㄡˇ ㄉㄜ˙ ㄈㄤˋ ㄕˇ,lit. to have a target in mind when shooting one's arrows (idiom); fig. to have a clear objective,7-9,unknown,29732,10048,7-9,1.0,0.03,0.0,1.0,0.02,0.0,2875.0,True
可乘之机,可乘之機,kěchéngzhījī,ㄎㄜˇ ㄔㄥˊ ㄓ ㄐㄧ,(idiom) an opportunity that someone (usually a villain or adversary) can exploit,7-9,unknown,29728,10049,7-9,7.0,0.21,0.8451,7.0,0.11,0.8451,2869.0,True
失传,失傳,shīchuán,ㄕ ㄔㄨㄢˊ,(of skills etc) to die out; lost; extinct,7-9,动,29709,10050,7-9,24.0,0.72,1.3802,21.0,0.34,1.3222,2852.0,True
不翼而飞,不翼而飛,búyì’érfēi,ㄅㄨˋ ㄧˋ ㄦˊ ㄈㄟ,to disappear without trace; to vanish all of a sudden; to spread fast; to spread like wildfire,7-9,unknown,29607,10052,7-9,28.0,0.83,1.4472,26.0,0.42,1.415,2848.0,True
撵,攆,niǎn,ㄋㄧㄢˇ,to expel; to oust; (dialect) to chase after; to try to catch up with,7-9,动,29572,10053,7-9,70.0,2.09,1.8451,60.0,0.96,1.7782,2806.0,True
孤零零,孤零零,gūlínglíng,ㄍㄨ ㄌㄧㄥˊ ㄌㄧㄥˊ,lone; isolated and without help; all alone; solitary,7-9,形,29543,10054,7-9,61.0,1.82,1.7853,54.0,0.86,1.7324,2815.0,True
聚精会神,聚精會神,jùjīng-huìshén,ㄐㄩˋ ㄐㄧㄥ ㄏㄨㄟˋ ㄕㄣˊ,to concentrate one's attention (idiom),7-9,unknown,29520,10055,7-9,10.0,0.3,1.0,10.0,0.16,1.0,2866.0,True
古今中外,古今中外,gǔjīn-zhōngwài,ㄍㄨˇ ㄐㄧㄣ ㄓㄨㄥ ㄨㄞˋ,at all times and in all places (idiom),7-9,unknown,29516,10056,7-9,,,,,,,,False
漠然,漠然,mòrán,ㄇㄛˋ ㄖㄢˊ,indifferent; apathetic; cold,7-9,形,29497,10057,7-9,5.0,0.15,0.699,5.0,0.08,0.699,2871.0,True
本分,本分,běnfèn,ㄅㄣˇ ㄈㄣˋ,(to play) one's part; one's role; one's duty; (to stay within) one's bounds; dutiful; keeping to one's role,7-9,名、形,29474,10058,7-9,50.0,1.49,1.699,48.0,0.77,1.6812,2826.0,True
