simplified,traditional,pinyin,zhuyin,meaning,hsk_level,pos,frequency_hsk,frequency_rank_hsk,hsk_level_main,frequency_subtlex,per_million,log_frequency,context_diversity,context_diversity_pct,log_context_diversity,frequency_rank_subtlex,in_subtlex
的,的,de,ㄉㄜ˙,"of; ~'s (possessive particle); (used after an attribute when it modifies a noun); (used at the end of a declarative sentence for emphasis); (used after a noun, verb or adjective to form a nominal expression, as in 皮革的[pi2 ge2 de5] 'one made of leather' or 跑堂兒的|跑堂儿的[pao3 tang2 r5 de5] 'a waiter (literally, one who runs back and forth in a restaurant)' or 新的[xin1 de5] 'new one'); also pr. [di4] or [di5] in poetry and songs; a taxi; a cab (abbr. for 的士[di1 shi4]); really and truly; (bound form) bull's-eye; target",1,助,943370349,1,1,1682530.0,50155.13,6.226,6243.0,100.0,3.7954,1.0,True
了,瞭,le,ㄌㄜ˙,"(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause); to finish; (used with 得[de2] or 不[bu4] after a verb to express (im)possibility, as in 忘不了[wang4 bu5 liao3] 'cannot forget'); (literary) (usually followed by a negative such as 無|无[wu2] or 不[bu4]) completely (not); entirely (not); (not) in the least; to understand clearly (variant of 瞭|了[liao3]); (of eyes) bright; clear-sighted; to understand clearly; unofficial variant of 瞭[liao4]",1,助,255733044,2,1,946365.0,28210.53,5.9761,6243.0,100.0,3.7954,5.0,True
在,在,zài,ㄗㄞˋ,to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress),1,动、介、副,197672850,3,1,429766.0,12811.05,5.6332,6242.0,99.98,3.7953,7.0,True
是,昰,shì,ㄕˋ,to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion); variant of 是[shi4],1,动,171296602,4,1,947807.0,28253.52,5.9767,6243.0,100.0,3.7954,4.0,True
我,我,wǒ,ㄨㄛˇ,I; me; my,1,代,169391220,5,1,1682285.0,50147.83,6.2259,6242.0,99.98,3.7953,2.0,True
和,龢,hé,ㄏㄜˊ,"old variant of 和[he2]; (joining two nouns) and; together with; with (Taiwan pr. [han4]); (math.) sum; to make peace; (sports) to draw; to tie; (bound form) harmonious; (bound form) Japan; Japanese; (literary) harmonious (variant of 和[he2]); surname He; to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; to complete a set in mahjong or playing cards; to combine a powdery substance (flour, plaster etc) with water; Taiwan pr. [huo4]; to mix (ingredients) together; to blend; classifier for rinses of clothes; classifier for boilings of medicinal herbs",1,介、连,118878434,6,1,150418.0,4483.86,5.1773,6214.0,99.54,3.7934,33.0,True
有,有,yǒu,ㄧㄡˇ,to have; there is; (bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional),1,动,94271573,7,1,289109.0,8618.15,5.4611,6242.0,99.98,3.7953,11.0,True
你,妳,nǐ,ㄋㄧˇ,"you (informal, as opposed to courteous 您[nin2]); you (Note: In Taiwan, 妳 is used to address females, but in mainland China, it is not commonly used. Instead, 你 is used to address both males and females.)",1,代,88487705,8,1,1329424.0,39629.27,6.1237,6242.0,99.98,3.7953,3.0,True
个,箇,gè,ㄍㄜˋ,used in 自個兒|自个儿[zi4 ge3 r5]; (classifier used before a noun that has no specific classifier); (bound form) individual; variant of 個|个[ge4],1,量,87859759,9,1,173905.0,5184.0,5.2403,6239.0,99.94,3.7951,29.0,True
也,也,yě,ㄧㄝˇ,surname Ye; also; too; as well; (not ...) either; (used after a verbal or nominal expression X to indicate that X is an extreme or unexpected case) even (X); (literary) particle having functions similar to 啊[a5],1,副,77259249,10,1,131801.0,3928.9,5.1199,6236.0,99.89,3.7949,37.0,True
这,這,zhè,ㄓㄜˋ,"(pronoun) this; these; (bound form) this; the (followed by a noun); (bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing); (coll.) this",1,代,73252887,11,1,286987.0,8554.9,5.4579,6241.0,99.97,3.7953,12.0,True
不,不,bù,ㄅㄨˋ,no; not so; (bound form) not; un-,1,副,70153387,12,1,689161.0,20543.44,5.8383,6242.0,99.98,3.7953,6.0,True
他,他,tā,ㄊㄚ,"(third-person singular) (since the early 20th century, usu. male) he; him; his; (bound form) other; another; some other (as in 他日[ta1 ri4] and 他人[ta1 ren2])",1,代,67051085,13,1,397653.0,11853.78,5.5995,6237.0,99.9,3.795,8.0,True
上,上,shàng,ㄕㄤˋ,used in 上聲|上声[shang3 sheng1]; (bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); (directional complement) up; (noun suffix) on; above,1,名、动,66509925,14,1,114371.0,3409.33,5.0583,6238.0,99.92,3.795,45.0,True
人,人,rén,ㄖㄣˊ,"person; people; CL:個|个[ge4],位[wei4]",1,名,65506298,15,1,194914.0,5810.26,5.2898,6239.0,99.94,3.7951,24.0,True
年,秊,nián,ㄋㄧㄢˊ,surname Nian; year; CL:個|个[ge4]; grain; harvest (old); variant of 年[nian2],1,名、量,59830333,18,1,30648.0,913.6,4.4864,5578.0,89.35,3.7465,141.0,True
对,對,duì,ㄉㄨㄟˋ,right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair,1（4）,形、介、（动、量）,56546971,20,1,132805.0,3958.83,5.1232,6229.0,99.78,3.7944,36.0,True
说,説,shuō,ㄕㄨㄛ,to persuade; to speak; to talk; to say; to explain; to comment; to scold; to tell off; (bound form) theory; doctrine; variant of 說|说[shuo1],1,动,52966771,21,1,226955.0,6765.38,5.3559,6242.0,99.98,3.7953,18.0,True
都,都,dōu,ㄉㄡ,surname Du; all; both; entirely; (used for emphasis) even; already; (not) at all; capital city; metropolis,1,副,52527496,22,1,177619.0,5294.71,5.2495,6237.0,99.9,3.795,28.0,True
要,要,yào,ㄧㄠˋ,(bound form) to demand; to coerce; to want; to need; to ask for; will; shall; about to; need to; should; if (same as 要是[yao4 shi5]); (bound form) important,1,动,50753034,23,1,238656.0,7114.18,5.3778,6242.0,99.98,3.7953,16.0,True
到,到,dào,ㄉㄠˋ,to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough,1,动,50645570,24,1,139534.0,4159.42,5.1447,6238.0,99.92,3.795,35.0,True
日,日,rì,ㄖˋ,"abbr. for 日本[Ri4 ben3], Japan; sun; day; date, day of the month",1（4）,量、（名）,42260866,28,1,4114.0,122.64,3.6143,1859.0,29.78,3.2693,744.0,True
我们,我們,wǒmen,ㄨㄛˇ ㄇㄣ˙,we; us; ourselves; our,1,代,41787606,29,1,371696.0,11080.02,5.5702,6241.0,99.97,3.7953,9.0,True
好,好,hǎo,ㄏㄠˇ,good; appropriate; proper; all right!; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (of two people) close; on intimate terms; (after a personal pronoun) hello; to be fond of; to have a tendency to; to be prone to,1（2）（4）,形、（副）、（动）,41528330,30,1,334698.0,9977.13,5.5247,6241.0,99.97,3.7953,10.0,True
月,月,yuè,ㄩㄝˋ,"moon; month; monthly; CL:個|个[ge4],輪|轮[lun2]",1,名,40981378,31,1,12253.0,365.25,4.0882,4113.0,65.88,3.6142,291.0,True
会,會,huì,ㄏㄨㄟˋ,can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association; (bound form) a moment (Taiwan pr. [hui3]); (bound form) to reckon accounts,1,动,40026863,32,1,265929.0,7927.17,5.4248,6242.0,99.98,3.7953,14.0,True
大,大,dà,ㄉㄚˋ,big; large; great; older (than another person); eldest (as in 大姐[da4 jie3]); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother); see 大夫[dai4 fu5],1,形,38361973,33,1,45061.0,1343.24,4.6538,6109.0,97.85,3.786,99.0,True
来,來,lái,ㄌㄞˊ,"to come; (used as a substitute for a more specific verb); hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5]); ever since (as in 自古以來|自古以来[zi4 gu3 yi3 lai2]); for the past (amount of time); (prefix) the coming ...; the next ... (as in 來世|来世[lai2 shi4]); (between two verbs) in order to; (after a round number) approximately; (used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2 de5 lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1 bu5 lai2])",1,动,37970033,34,1,185154.0,5519.32,5.2675,6239.0,99.94,3.7951,27.0,True
还,還,hái,ㄏㄞˊ,surname Huan; still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else; to pay back; to return,1,副,37384723,35,1,130326.0,3884.93,5.115,6235.0,99.87,3.7948,39.0,True
后,後,hòu,ㄏㄡˋ,surname Hou; empress; queen; (archaic) monarch; ruler; back; behind; rear; afterwards; after; later; post-,1,名,33767571,40,1,22018.0,656.34,4.3428,5508.0,88.23,3.741,189.0,True
两,兩,liǎng,ㄌㄧㄤˇ,"two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)",1,数,32745515,41,1,36580.0,1090.43,4.5632,5953.0,95.35,3.7747,121.0,True
没有,沒有,méiyǒu,ㄇㄟˊ ㄧㄡˇ,haven't; hasn't; doesn't exist; to not have; to not be,1,动、副,30405623,43,1,108237.0,3226.48,5.0344,6218.0,99.6,3.7937,48.0,True
去,去,qù,ㄑㄩˋ,to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation),1,动,30059353,44,1,163054.0,4860.53,5.2123,6239.0,99.94,3.7951,31.0,True
很,很,hěn,ㄏㄣˇ,"very; quite; (also, often used before an adjective without intensifying its meaning, i.e. as a meaningless syntactic element)",1,副,29046232,47,1,200584.0,5979.28,5.3023,6239.0,99.94,3.7951,22.0,True
给,給,gěi,ㄍㄟˇ,to; for; for the benefit of; to give; to allow; to do sth (for sb); (grammatical equivalent of 被); (grammatical equivalent of 把); (sentence intensifier); to supply; to provide,1（2）,动、（介）,28952371,48,1,117218.0,3494.19,5.069,6235.0,99.87,3.7948,43.0,True
中国,中國,Zhōngguó,ㄓㄨㄥ ㄍㄨㄛˊ,China,1,名,27811293,51,1,1994.0,59.44,3.2997,764.0,12.24,2.8831,1290.0,True
元,元,yuán,ㄩㄢˊ,surname Yuan; Yuan dynasty (1279–1368); currency unit (esp. Chinese yuan); (bound form) first; original; primary; (bound form) basic; fundamental; (bound form) constituent; part; (prefix) meta-; (math.) argument; variable; era (of a reign); (Tw) (geology) eon,1,量,27576670,52,1,1945.0,57.98,3.2889,791.0,12.67,2.8982,1312.0,True
看,看,kàn,ㄎㄢˋ,to look after; to take care of; to watch; to guard; to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (a patient or illness); to depend on; to feel (that); (after a verb) to give it a try; to watch out for,1,动,27275620,53,1,102546.0,3056.83,5.0109,6235.0,99.87,3.7948,50.0,True
下,下,xià,ㄒㄧㄚˋ,"down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action",1,名、动、量,26737542,55,1,51975.0,1549.34,4.7158,6171.0,98.85,3.7904,83.0,True
她,她,tā,ㄊㄚ,she,1,代,26689468,56,1,221420.0,6600.39,5.3452,6134.0,98.25,3.7877,19.0,True
可以,可以,kěyǐ,ㄎㄜˇ ㄧˇ,can; may; possible; able to; not bad; pretty good,1,动、形,25881411,58,1,79198.0,2360.84,4.8987,6206.0,99.41,3.7928,57.0,True
这个,這個,zhège,ㄓㄜˋ ㄍㄜ˙,(pronoun) this; (adjective) this,1,代,24376948,60,1,92058.0,2744.19,4.9641,6229.0,99.78,3.7944,54.0,True
能,能,néng,ㄋㄥˊ,surname Neng; can; to be able to; might possibly; ability; (physics) energy,1,动,23909882,61,1,166656.0,4967.91,5.2218,6239.0,99.94,3.7951,30.0,True
他们,他們,tāmen,ㄊㄚ ㄇㄣ˙,they; them,1,代,23760910,62,1,140460.0,4187.02,5.1476,6199.0,99.3,3.7923,34.0,True
做,做,zuò,ㄗㄨㄛˋ,"to make; to produce; to write; to compose; to do; to engage in; to hold (a party etc); (of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc); (of a thing) to serve as; to be used for; to assume (an air or manner)",1,动,23494662,63,1,122364.0,3647.59,5.0877,6226.0,99.73,3.7942,42.0,True
想,想,xiǎng,ㄒㄧㄤˇ,to think (about); to think of; to devise; to think (that); to believe (that); to desire; to want (to); to miss (feel wistful about the absence of),1,动,21944953,67,1,212185.0,6325.1,5.3267,6240.0,99.95,3.7952,20.0,True
那,那,nà,ㄋㄚˋ,"surname Na; surname Nuo; variant of 哪[na3]; (specifier) that; the; those (colloquial pr. [nei4]); (pronoun) that (referring to persons, things or situations); then (in that case); (archaic) many; beautiful; how; old variant of 挪[nuo2]",1（2）,代、（连）,21808185,68,1,190087.0,5666.37,5.279,6238.0,99.92,3.795,26.0,True
新,新,xīn,ㄒㄧㄣ,abbr. for Xinjiang 新疆[Xin1 jiang1]; abbr. for Singapore 新加坡[Xin1 jia1 po1]; surname Xin; new; newly; meso- (chemistry),1,形,21776749,69,1,17291.0,515.43,4.2378,5059.0,81.03,3.7041,229.0,True
小,小,xiǎo,ㄒㄧㄠˇ,small; tiny; few; young,1,形、前缀,20674943,74,1,34967.0,1042.34,4.5437,5838.0,93.51,3.7663,125.0,True
天,天,tiān,ㄊㄧㄢ,day; sky; heaven,1,名、量,20457907,76,1,50660.0,1510.14,4.7047,6117.0,97.98,3.7865,88.0,True
工作,工作,gōngzuò,ㄍㄨㄥ ㄗㄨㄛˋ,"to work; (of a machine) to operate; job; work; task; CL:個|个[ge4],份[fen4],項|项[xiang4]",1,动、名,19699227,77,1,30191.0,899.97,4.4799,5295.0,84.81,3.7239,144.0,True
里,里,lǐ,ㄌㄧˇ,"variant of 裡|里[li3]; lining; interior; inside; internal; also written 裏|里[li3]; li, ancient measure of length, approx. 500 m; neighborhood; ancient administrative unit of 25 families; (Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels; Li (surname)",1,名,19397088,80,1,63276.0,1886.22,4.8012,6179.0,98.97,3.7909,69.0,True
前,前,qián,ㄑㄧㄢˊ,front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly,1,名,18590729,83,1,25613.0,763.51,4.4085,5722.0,91.65,3.7575,169.0,True
公司,公司,gōngsī,ㄍㄨㄥ ㄙ,company; firm; corporation; CL:家[jia1],1,名,18463472,84,1,10046.0,299.46,4.002,2684.0,42.99,3.4288,352.0,True
问题,問題,wèntí,ㄨㄣˋ ㄊㄧˊ,question; problem; issue; topic; CL:個|个[ge4],1,名,18326876,86,1,33364.0,994.56,4.5233,5848.0,93.67,3.767,131.0,True
家,家,jiā,ㄐㄧㄚ,"used in 傢伙|家伙[jia1 huo5] and 傢俱|家俱[jia1 ju4]; home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]",1（3）,名、量、（后缀）,17971399,88,1,27026.0,805.63,4.4318,5613.0,89.91,3.7492,157.0,True
吧,吧,ba,ㄅㄚ˙,"bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 貼吧|贴吧[tie1 ba1]; (modal particle indicating suggestion or surmise); ...right?; ...OK?; ...I presume.",1,助,17812571,89,1,194084.0,5785.52,5.288,6238.0,99.92,3.795,25.0,True
什么,什麼,shénme,ㄕㄣˊ ㄇㄜ˙,what?; something; anything,1,代,17796936,90,1,236517.0,7050.42,5.3739,6224.0,99.7,3.7941,17.0,True
没,沒,méi,ㄇㄟˊ,(negative prefix for verbs) have not; not; drowned; to end; to die; to inundate,1,动、副,17613557,91,1,159508.0,4754.83,5.2028,6239.0,99.94,3.7951,32.0,True
现在,現在,xiànzài,ㄒㄧㄢˋ ㄗㄞˋ,now; at present; currently,1,名,16365880,95,1,88120.0,2626.8,4.9451,6227.0,99.74,3.7943,56.0,True
真,真,zhēn,ㄓㄣ,really; truly; indeed; real; true; genuine,1（4）,副、（形）,16020066,98,1,102445.0,3053.82,5.0105,6224.0,99.7,3.7941,51.0,True
本,本,běn,ㄅㄣˇ,"(bound form) root; stem; (bound form) origin; source; (bound form) one's own; this; (bound form) this; the current (year etc); (bound form) original; (bound form) inherent; originally; initially; capital; principal; classifier for books, periodicals, files etc",1,量,15546838,103,1,10526.0,313.77,4.0223,3743.0,59.96,3.5732,337.0,True
太,太,tài,ㄊㄞˋ,highest; greatest; too (much); very; extremely,1,副,15451106,105,1,65151.0,1942.11,4.8139,6180.0,98.99,3.791,67.0,True
再,再,zài,ㄗㄞˋ,"again; once more; re-; further; beyond this point of time; (before an adjective) more; then (after sth, and not until then); no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis); (used to introduce additional information, as in 再則|再则[zai4 ze2], 再就是[zai4 jiu4 shi4] etc); (literary) to reappear; to reoccur",1,副,15399566,106,1,56520.0,1684.82,4.7522,6197.0,99.26,3.7922,74.0,True
时间,時間,shíjiān,ㄕˊ ㄐㄧㄢ,(concept of) time; (duration of) time; (point in) time,1,名,14785440,110,1,30703.0,915.24,4.4872,5902.0,94.54,3.771,140.0,True
爱,愛,ài,ㄞˋ,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen),1,动,13772657,119,1,31122.0,927.73,4.4931,5314.0,85.12,3.7254,138.0,True
吃,喫,chī,ㄔ,"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc); variant of 吃[chi1]",1,动,12987492,127,1,27913.0,832.07,4.4458,5155.0,82.57,3.7122,153.0,True
时候,時候,shíhou,ㄕˊ ㄏㄡ˙,time; length of time; moment; period,1,名,12888353,128,1,52176.0,1555.33,4.7175,6130.0,98.19,3.7875,82.0,True
呢,呢,ne,ㄋㄜ˙,"particle indicating that a previously asked question is to be applied to the preceding word ('What about ...?', 'And ...?'); particle for inquiring about location ('Where is ...?'); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ('ok?', 'are you with me?'); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation; dense wool fabric (used for coats and jackets)",1,助,12641044,130,1,76752.0,2287.93,4.8851,6196.0,99.25,3.7921,59.0,True
只,隻,zhī,ㄓˇ,"variant of 隻|只[zhi1]; grain that has begun to ripen; classifier for birds and certain animals, one of a pair, some utensils, vessels etc; only; merely; just; variant of 只[zhi3]; variant of 只[zhi3]",1,量,12513893,131,1,72698.0,2167.08,4.8615,6223.0,99.68,3.794,61.0,True
今天,今天,jīntiān,ㄐㄧㄣ ㄊㄧㄢ,today; the present time; now,1,名,12378709,133,1,24750.0,737.78,4.3936,5484.0,87.84,3.7391,174.0,True
它,牠,tā,ㄊㄚ,it; it (pronoun for an animal),1,代,12176287,134,1,49024.0,1461.37,4.6904,5777.0,92.54,3.7617,91.0,True
分,分,fēn,ㄈㄣ,to divide; to separate; to distribute; to allocate; to distinguish (good and bad); (bound form) branch of (an organization); sub- (as in 分局[fen1 ju2]); fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute (unit of time); minute (angular measurement unit); a point (in sports or games); 0.01 yuan (unit of money); part; share; ingredient; component,1（3）,量、（动、名）,11826179,136,1,5455.0,162.61,3.7368,2563.0,41.05,3.4087,598.0,True
一些,一些,yìxiē,ㄧ ㄒㄧㄝ,some; a few; a little; (following an adjective) slightly ...er,1,数量,11583138,139,1,17133.0,510.72,4.2338,4907.0,78.6,3.6908,232.0,True
这些,這些,zhèxiē,ㄓㄜˋ ㄒㄧㄝ,these,1,代,11378382,142,1,36735.0,1095.05,4.5651,5954.0,95.37,3.7748,119.0,True
大家,大家,dàjiā,ㄉㄚˋ ㄐㄧㄚ,everyone; influential family; great expert,1,代,11129890,145,1,17458.0,520.41,4.242,4580.0,73.36,3.6609,228.0,True
吗,嗎,ma,ㄇㄚ˙,(coll.) what?; used in 嗎啡|吗啡[ma3 fei1]; (question particle for 'yes-no' questions),1,助,10975592,147,1,249187.0,7428.1,5.3965,6107.0,97.82,3.7858,15.0,True
几,幾,jǐ,ㄐㄧˇ,small table; almost; how much; how many; several; a few,1,代、数,10023845,164,1,22431.0,668.65,4.3508,5590.0,89.54,3.7474,185.0,True
事,事,shì,ㄕˋ,"matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1],回[hui2]",1,名,9941650,166,1,97715.0,2912.82,4.99,6198.0,99.28,3.7923,53.0,True
今年,今年,jīnnián,ㄐㄧㄣ ㄋㄧㄢˊ,this year,1,名,9714475,171,1,1802.0,53.72,3.2558,1064.0,17.04,3.0269,1381.0,True
喜欢,喜歡,xǐhuan,ㄒㄧˇ ㄏㄨㄢ˙,to like; to be fond of,1,动,9589721,173,1,46146.0,1375.58,4.6641,5856.0,93.8,3.7676,96.0,True
知道,知道,zhīdào,ㄓ ㄉㄠˋ,to know; to become aware of; also pr. [zhi1dao5],1,动,9354835,176,1,196745.0,5864.84,5.2939,6238.0,99.92,3.795,23.0,True
车,車,chē,ㄔㄜ,surname Che; car; vehicle; CL:輛|辆[liang4]; machine; to shape with a lathe; Kangxi radical 159; war chariot (archaic); rook (in Chinese chess); rook (in chess),1,名,9131035,181,1,23974.0,714.65,4.3797,4469.0,71.58,3.6502,178.0,True
怎么,怎麽,zěnme,ㄗㄣˇ ㄇㄜ˙,how?; what?; why?; variant of 怎麼|怎么[zen3 me5],1,代,8708842,189,1,89166.0,2657.98,4.9502,6210.0,99.47,3.7931,55.0,True
外,外,wài,ㄨㄞˋ,outside; in addition; foreign; external,1,名,8587903,192,1,4058.0,120.97,3.6083,2363.0,37.85,3.3735,755.0,True
谁,誰,shéi/shuí,ㄕㄨㄟˊ,who; also pr. [shui2],1,代,8548190,193,1,52782.0,1573.4,4.7225,6152.0,98.54,3.789,78.0,True
你们,你們,nǐmen,ㄋㄧˇ ㄇㄣ˙,you (plural),1,代,8527633,194,1,112946.0,3366.85,5.0529,6171.0,98.85,3.7904,46.0,True
见,見,jiàn,ㄐㄧㄢˋ,to see; to meet; to appear (to be sth); to interview; opinion; view; to appear; also written 現|现[xian4],1,动,8490843,195,1,29340.0,874.61,4.4675,5856.0,93.8,3.7676,147.0,True
找,找,zhǎo,ㄓㄠˇ,to try to find; to look for; to call on sb; to find; to seek; to return; to give change,1,动,8427695,196,1,46647.0,1390.52,4.6688,6006.0,96.2,3.7786,94.0,True
岁,歲,suì,ㄙㄨㄟˋ,"variant of 歲|岁[sui4], year; years old; classifier for years (of age); year; year (of crop harvests)",1,量,8215534,209,1,11556.0,344.48,4.0628,3915.0,62.71,3.5927,308.0,True
水,水,shuǐ,ㄕㄨㄟˇ,surname Shui; water; (after a name) ... River; to swim (used mostly in 會水|会水[hui4 shui3] and 水性[shui3 xing4]); (coll.) lacking in substance; shoddy; (bound form) additional cost; extra income; classifier for washings of a garment,1,名,8153040,212,1,7581.0,225.98,3.8797,3094.0,49.56,3.4905,440.0,True
非常,非常,fēicháng,ㄈㄟ ㄔㄤˊ,very; really; unusual; extraordinary,1,副,8056541,215,1,26976.0,804.14,4.431,5138.0,82.3,3.7108,158.0,True
买,買,mǎi,ㄇㄞˇ,to buy; to purchase,1,动,7979402,218,1,15766.0,469.97,4.1977,4369.0,69.98,3.6404,246.0,True
开,開,kāi,ㄎㄞ,"to open (transitive or intransitive); (of ships, vehicles, troops etc) to start; to turn on; to put in operation; to operate; to run; to boil; to write out (a prescription, check, invoice etc); (directional complement) away; off; carat (gold); abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]; abbr. for 開本|开本[kai1 ben3], book format",1,动,7960803,219,1,27382.0,816.24,4.4375,5709.0,91.45,3.7566,155.0,True
觉得,覺得,juéde,ㄐㄩㄝˊ ㄉㄜ˙,to think that ...; to feel that ...; to feel (uncomfortable etc),1,动,7959167,220,1,51047.0,1521.68,4.708,5956.0,95.4,3.775,87.0,True
不要,不要,búyào,ㄅㄨˋ ㄧㄠˋ,don't!; must not,1,副,7793782,227,1,20679.0,616.43,4.3155,4984.0,79.83,3.6976,199.0,True
号,號,hào,ㄏㄠˋ,roar; cry; CL:個|个[ge4]; ordinal number; day of a month; mark; sign; business establishment; size; ship suffix; horn (wind instrument); bugle call; assumed name; to take a pulse; classifier used to indicate number of people,1,名、量,7363824,242,1,11862.0,353.6,4.0742,3261.0,52.23,3.5134,296.0,True
叫,呌,jiào,ㄐㄧㄠˋ,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood); variant of 叫[jiao4],1（4）,动、（介）,7079928,254,1,34648.0,1032.83,4.5397,5853.0,93.75,3.7674,127.0,True
学生,學生,xuéshēng,ㄒㄩㄝˊ ㄕㄥ˙,student; schoolchild,1,名,6886521,262,1,2942.0,87.7,3.4686,1238.0,19.83,3.0927,978.0,True
钱,錢,qián,ㄑㄧㄢˊ,"surname Qian; coin; money; CL:筆|笔[bi3]; unit of weight, one tenth of a tael 兩|两[liang3]",1,名,6768858,268,1,29221.0,871.06,4.4657,4602.0,73.71,3.6629,148.0,True
请,請,qǐng,ㄑㄧㄥˇ,to ask; to invite; please (do sth); to treat (to a meal etc); to request,1,动,6760332,269,1,30598.0,912.11,4.4857,5588.0,89.51,3.7473,142.0,True
问,問,wèn,ㄨㄣˋ,to ask; to inquire,1,动,6740338,271,1,20455.0,609.75,4.3108,5286.0,84.67,3.7231,201.0,True
孩子,孩子,háizi,ㄏㄞˊ ㄗ˙,child,1,名,6681697,276,1,37243.0,1110.19,4.571,5216.0,83.55,3.7173,116.0,True
听,聽,tīng,ㄊㄧㄥ,smile (archaic); to listen to; to hear; to heed; to obey; a can (loanword from English 'tin'); classifier for canned beverages; to let be; to allow (Taiwan pr. [ting4]); (literary) to administer; to deal with (Taiwan pr. [ting4]),1,动,6519997,283,1,54888.0,1636.18,4.7395,6145.0,98.43,3.7885,75.0,True
回,逥,huí,ㄏㄨㄟˊ,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); to curve; to return; to revolve; variant of 迴|回[hui2],1（3）,动、（量）,6341453,286,1,30259.0,902.0,4.4809,5948.0,95.27,3.7744,143.0,True
女,女,nǚ,ㄋㄩˇ,female; woman; daughter; old variant of 汝[ru3],1,形,5946513,301,1,8343.0,248.7,3.9213,3433.0,54.99,3.5357,409.0,True
一下,一下,yíxià,ㄧ ㄒㄧㄚˋ,"(after a verb) a bit; a little (indicating brief duration, or softening the tone, or suggesting giving sth a try); all at once; suddenly",1（4）,数量、（副）,5932374,303,1,27171.0,809.95,4.4341,5714.0,91.53,3.7569,156.0,True
东西,東西,dōngxi,ㄉㄨㄥ ㄒㄧ˙,"east and west; thing; stuff; person; CL:個|个[ge4],件[jian4]",1,名,5827002,314,1,38127.0,1136.54,4.5812,5958.0,95.43,3.7751,114.0,True
正在,正在,zhèngzài,ㄓㄥˋ ㄗㄞˋ,to be in the process of (doing sth); to be currently ...-ing,1,副,5824702,316,1,6653.0,198.32,3.823,3382.0,54.17,3.5292,497.0,True
这里,這裡,zhèlǐ,ㄓㄜˋ ㄌㄧˇ,variant of 這裡|这里[zhe4 li3]; here,1,代,5812931,318,1,53900.0,1606.72,4.7316,5879.0,94.17,3.7693,76.0,True
